ID,Name,SMILES,Description
YMDB02301,Benzoic acid,OC(=O)C1=CC=CC=C1,"Benzoic acid, C6H5COOH, is a colourless crystalline solid and the simplest aromatic carboxylic acid. Benzoic acid occurs naturally free and bound as benzoic acid esters in many plant and animal species. Appreciable amounts have been found in most berries (around 0.05%). Cranberries contain as much as 300-1300 mg free benzoic acid per kg fruit. Benzoic acid is a fungistatic compound that is widely used as a food preservative. Benzoic acid is a byproduct of phenylalanine metabolism in bacteria. It is also produced when gut bacteria process polyphenols (from ingested fruits or beverages)"
YMDB01658,Coutaric acid,CCC(CC)NC1=C(C=CC(=C1)C(O)=O)N1C(=O)CC[C@@]1(CN)CO,"  polyphenol Polyphenol are secondary plant metabolites and components of grapes, wines and beers They "
YMDB01774,Phenyllactic acid,CC(O)(C(O)=O)C1=CC=CC=C1,"Phenyllactic acid (PLA) is an antifungal metabolite produced by lactic acid bacteria (LAB). Lactic acid bacteria are naturally associated with many foods or their raw ingredients and are popularly used in food fermentation to enhance the sensory, aromatic, and textural properties of food. These microorganisms are well recognized for their biopreservative properties, which are achieved through the production of antimicrobial compounds such as lactic acid, diacetyl, bacteriocins, and other metabolites"
YMDB01323,Gallic acid,[H]OC(=O)C1=C([H])C(O[H])=C(O[H])C(O[H])=C1[H],"  secondary plant metabolites and components of grapes, wines and beers They contribute to the "
YMDB01322,Salicylic acid,OC(=O)C1=CC=CC=C1O,"  secondary plant metabolites and components of grapes, wines and beers They contribute to the sensory "
YMDB00495,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1," 4-Hydroxybenzoic acid is a phenolic acid, a type of polyphenol Polyphenol are secondary plant   metabolites and component of grapes and wines that contribute to the sensory characteristics of wine "
YMDB01638,Anisic acid,COC1=CC=C(C=C1)C(O)=O," Anisic acid is a phenolic acid, a type of polyphenol Polyphenol are secondary plant metabolites "
YMDB01321,Protocatechuic acid,[H]OC(=O)C1=C([H])C(O[H])=C(O[H])C([H])=C1[H]," Protocatechuic acid is a phenolic acid, a type of polyphenol Polyphenol are secondary plant   metabolites and component of grapes and wines that contribute to the sensory characteristics of wine "
YMDB01802,Vanillic acid,COC1=CC(=CC=C1O)C(O)=O," Vanillic acid is a phenolic acid, a type of polyphenol Polyphenol are secondary plant metabolites "
YMDB01645,Caffeic acid,OC(=O)\C=C\C1=CC(O)=C(O)C=C1,  abundant phenolic phytochemical found in plant cell wall components It is present in beer and wine 
YMDB01325,Ferulic acid,COC1=CC(\C=C\C(O)=O)=CC=C1O,  abundant phenolic phytochemical found in plant cell wall components It is present in beer and wine 
YMDB00498,trans-4-Coumaric acid,OC(=O)\C=C\C1=CC=C(O)C=C1,  abundant phenolic phytochemical found in plant cell wall components It is present in beer and wine 
YMDB01693,Fertaric acid,COC1=CC(\C=C\C(=O)OC(C(O)C(O)=O)C(O)=O)=CC=C1O,"  polyphenol Polyphenol are secondary plant metabolites and components of grapes, wines and beers They "
YMDB01646,Caftaric acid,O[C@H]([C@@H](OC(=O)\C=C\C1=CC(O)=C(O)C=C1)C(O)=O)C(O)=O,"  polyphenol Polyphenol are secondary plant metabolites and components of grapes, wines and beers They "
YMDB01667,Delphinidin 3-O-(coumaroylglucoside),O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]1O,"  Anthocyanins are plant pigments found in many red berries including grape and grape skin The cell wall of S   with yeast metabolites to form pyranoanthocyanins, which are more stable pigments formed during wine "
YMDB01772,Petunidin 3-O-(coumaroylglucoside),COC1=CC(=CC(O)=C1O)C1=C(O[C@@H]2O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O)=CC(O)=CC2=[O+]1,  are plant pigments found in many red berries including grape and grape skin The cell wall of S 
YMDB01666,Delphinidin 3-O-(acetylglucoside),CC(=O)OC[C@H]1O[C@@H](OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,"  are plant pigments found in many red berries including grape and grape skin The cell wall of S   yeast metabolites to form pyranoanthocyanins, which are more stable pigments formed during wine "
YMDB01737,Malvidin 3-O-(coumaroylglucoside),COC1=CC(=CC(OC)=C1O)C1=C(O[C@@H]2O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O)=CC(O)=CC2=[O+]1,"  are plant pigments found in many red berries including grape and grape skin The cell wall of S   yeast metabolites to form pyranoanthocyanins, which are more stable pigments formed during wine "
YMDB01662,Cyanidin 3-O-(coumaroylglucoside),O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H]1O,"  are plant pigments found in many red berries including grape and grape skin The cell wall of S   yeast metabolites to form pyranoanthocyanins, which are more stable pigments formed during wine "
YMDB01768,Peonidin 3-O-(coumaroylglucoside),COC1=C(O)C=CC(=C1)C1=C(O[C@@H]2O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O)=CC(O)=CC2=[O+]1,"  are plant pigments found in many red berries including grape and grape skin The cell wall of S   yeast metabolites to form pyranoanthocyanins, which are more stable pigments formed during wine "
YMDB01806,Vitisin B,[H][O+]1C2=CC(O)=CC3=C2C(=CCO3)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C1C1=CC(OC)=C(O)C(OC)=C1,"  condensation between grape anthocyanins (mainly malvidin-3-O-glucoside), and the glycolytic metabolites "
YMDB01805,Vitisin A,[H][O+]1C2=CC(O)=CC3=C2C(C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C1C1=CC(OC)=C(O)C(OC)=C1)=C(C=O)C(=O)O3,"  condensation between grape anthocyanins (mainly malvidin-3-O-glucoside), and the glycolytic metabolites "
YMDB01680,Engeletin,C[C@@H]1O[C@@H](O[C@@H]2[C@H](OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,"  dihydrokaempferol, a type of polyphenol Polyphenol are secondary plant metabolites and components of grapes "
YMDB01734,Malvidin 3-O-glucoside,COC1=CC(=CC(OC)=C1O)C1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O)=CC(O)=CC2=[O+]1,  one of the main anthocyanins found in grape Anthocyanins are plant pigments found in many red   have an influence on wine color Anthocyanins can react with yeast metabolites to form 
YMDB01766,Peonidin 3-O-glucoside,COC1=C(O)C=CC(=C1)C1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O)=CC(O)=CC2=[O+]1,  one of the main anthocyanins found in grape Anthocyanins are plant pigments found in many red   have an influence on wine color Anthocyanins can react with yeast metabolites to form 
